title,summary,update_at,external_link,entity,created_at,classification_id,rtype_id,gtype,is_active
"14601 j. mendez construcciones, srl - cubicacion final","14601 j. mendez construcciones, srl - cubicacion final",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7715/14601-j-mendez-construcciones-srl-cubicacion-final.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14572 montval ingenieria, srl - 3ra cubicacion","14572 montval ingenieria, srl - 3ra cubicacion",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7716/14572-montval-ingenieria-srl-3ra-cubicacion.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14565 construccion y transporte prefabricados, eec, srl - 2da cubicacion","14565 construccion y transporte prefabricados, eec, srl - 2da cubicacion",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7719/14565-construccion-y-transporte-prefabricados-eec-srl-2da-cubicacion.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14564 dineba disenos interiores y ebanisteria, srl - 2da cubicacion","14564 dineba disenos interiores y ebanisteria, srl - 2da cubicacion",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7714/14564-dineba-disenos-interiores-y-ebanisteria-srl-2da-cubicacion.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14553 constructora phd, srl - 2da  cubicacion","14553 constructora phd, srl - 2da  cubicacion",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7717/14553-constructora-phd-srl-2da-cubicacion.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14551 j. mendez construcciones, srl - 2da cubicacion","14551 j. mendez construcciones, srl - 2da cubicacion",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7726/14551-j-mendez-construcciones-srl-2da-cubicacion.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14544 grupo biserici, srl - 1ra cubicacion","14544 grupo biserici, srl - 1ra cubicacion",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7725/14544-grupo-biserici-srl-1ra-cubicacion.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14504 dineba disenos interiores y ebanisteria, srl 1ra c","14504 dineba disenos interiores y ebanisteria, srl 1ra c",10/3/2023 20:24,https://adn.gob.do/transparencia/download/1464/julio-septiembre/7012/14504-dineba-disenos-interiores-y-ebanisteria-srl-1ra-c.pdf,Alcaldía del distrito Nacional,10/3/2023 20:24,17,33,link,True
"14493 montval ingenieria, srl  2da c","14493 montval ingenieria, srl  2da c",10/3/2023 20:24,https://adn.gob.do/transparencia/download/1464/julio-septiembre/7009/14493-montval-ingenieria-srl-2da-c.pdf,Alcaldía del distrito Nacional,10/3/2023 20:24,17,33,link,True
14485 conedecan srl 1ra c,14485 conedecan srl 1ra c,10/3/2023 20:24,https://adn.gob.do/transparencia/download/1464/julio-septiembre/7011/14485-conedecan-srl-1ra-c.pdf,Alcaldía del distrito Nacional,10/3/2023 20:24,17,33,link,True
"14484 constructora phd, srl 1ra c","14484 constructora phd, srl 1ra c",10/3/2023 20:24,https://adn.gob.do/transparencia/download/1464/julio-septiembre/7008/14484-constructora-phd-srl-1ra-c.pdf,Alcaldía del distrito Nacional,10/3/2023 20:24,17,33,link,True
14483 construcciones y transporte prefabricados 1ra c,14483 construcciones y transporte prefabricados 1ra c,10/3/2023 20:24,https://adn.gob.do/transparencia/download/1464/julio-septiembre/7007/14483-construcciones-y-transporte-prefabricados-1ra-c.pdf,Alcaldía del distrito Nacional,10/3/2023 20:24,17,33,link,True
14473 j. mendez construcciones  1ra c,14473 j. mendez construcciones  1ra c,10/3/2023 20:24,https://adn.gob.do/transparencia/download/1464/julio-septiembre/7013/14473-j-mendez-construcciones-1ra-c.pdf,Alcaldía del distrito Nacional,10/3/2023 20:24,17,33,link,True
"14462 montval ingenieria, srl 1ra c","14462 montval ingenieria, srl 1ra c",10/3/2023 20:24,https://adn.gob.do/transparencia/download/1464/julio-septiembre/7010/14462-montval-ingenieria-srl-1ra-c.pdf,Alcaldía del distrito Nacional,10/3/2023 20:24,17,33,link,True
"dineba disenos interiores y ebanisteria, srl 20% avance","dineba disenos interiores y ebanisteria, srl 20% avance",1/17/2024 20:49,https://adn.gob.do/transparencia/download/1576/abril-junio/7731/dineba-disenos-interiores-y-ebanisteria-srl-20-avance-2.pdf,Alcaldía del distrito Nacional,1/17/2024 20:49,17,33,link,True
"constructora phd, srl 20% avance","constructora phd, srl 20% avance",1/17/2024 20:49,https://adn.gob.do/transparencia/download/1576/abril-junio/7733/constructora-phd-srl-20-avance-2.pdf,Alcaldía del distrito Nacional,1/17/2024 20:49,17,33,link,True
"conedeca, srl 20% avance","conedeca, srl 20% avance",1/17/2024 20:49,https://adn.gob.do/transparencia/download/1576/abril-junio/7732/conedeca-srl-20-avance-2.pdf,Alcaldía del distrito Nacional,1/17/2024 20:49,17,33,link,True
resolucion no-42-2021- que aprueba monto y tope para ppm 2022,resolucion no-42-2021- que aprueba monto y tope para ppm 2022,4/4/2022 16:08,https://adn.gob.do/transparencia/download/479/2022/1921/resolucion-no-42-2021-que-aprueba-monto-y-tope-para-ppm-2022.pdf,Alcaldía del distrito Nacional,1/14/2022 16:05,17,33,link,True
plan de inversion municipal para  2022,plan de inversion municipal para  2022,4/4/2022 16:07,https://adn.gob.do/transparencia/download/479/2022/1919/plan-de-inversion-municipal-para-2022.pdf,Alcaldía del distrito Nacional,1/14/2022 16:05,17,26,link,True
plan de inversion municipal presupuesto participativo ano 2022,plan de inversion municipal presupuesto participativo ano 2022,4/4/2022 16:25,https://adn.gob.do/transparencia/download/479/2022/1922/plan-de-inversion-municipal-presupuesto-participativo-ano-2022.pdf,Alcaldía del distrito Nacional,2/21/2022 16:24,17,26,link,True
fp-06,fp-06,4/4/2022 16:05,https://adn.gob.do/transparencia/download/479/2022/1920/fp-06.pdf,Alcaldía del distrito Nacional,4/4/2022 16:05,17,33,link,True
asambleas comunitarias-participacion por genero,asambleas comunitarias-participacion por genero,4/4/2022 16:06,https://adn.gob.do/transparencia/download/479/2022/1917/asambleas-comunitarias-participacion-por-genero.pdf,Alcaldía del distrito Nacional,1/14/2022 16:05,17,29,link,True
adn juramenta comite e inicia asambleas de presupuesto participativo municipal 2022,adn juramenta comite e inicia asambleas de presupuesto participativo municipal 2022,4/4/2022 16:06,https://adn.gob.do/transparencia/download/479/2022/1918/adn-juramenta-comite-e-inicia-asambleas-de-presupuesto-participativo-municipal-2022.pdf,Alcaldía del distrito Nacional,1/14/2022 16:05,17,20,link,True
