year,pdf_link,titulo,epigrafe
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/27-02142022083949.pdf,ACUERDO Nº 027,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/28-02142022084234.pdf,ACUERDO Nº 028,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/29-02142022084258.pdf,ACUERDO Nº 029,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/30-02142022084316.pdf,ACUERDO Nº 030,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/31-02142022084455.pdf,ACUERDO Nº 031,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/32-02142022084611.pdf,ACUERDO Nº 032,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/33-02142022084704.pdf,ACUERDO Nº 033,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/34-02142022084806.pdf,ACUERDO Nº 034,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-001-14.pdf,ACUERDO Nº 001,
2014,https://www.concejodebarranquilla.gov.co/newpage/wp-content/uploads/2020/02/ACUERDO-002-14.pdf,ACUERDO Nº 002,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-003-14.pdf,ACUERDO Nº 003,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-004-14.pdf,ACUERDO Nº 004,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-005-14.pdf,ACUERDO Nº 005,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-006-14.pdf,ACUERDO Nº 006,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-008-14.pdf,ACUERDO Nº 008,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-009-14.pdf,ACUERDO Nº 009,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-010-14.pdf,ACUERDO Nº 010,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-011-14.pdf,ACUERDO Nº 011,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-012-14.pdf,ACUERDO Nº 012,
2014,https://www.concejodebarranquilla.gov.co/newpage/wp-content/uploads/2020/02/ACUERDO-00013-14.pdf,ACUERDO Nº 013,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-00013-14.pdf,ACUERDO Nº 014,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-015-14.pdf,ACUERDO Nº 015,
2014,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-016-14.pdf,ACUERDO Nº 016,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0001-15-1.pdf,ACUERDO Nº 001,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-002.pdf,ACUERDO Nº 002,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0003-15.pdf,ACUERDO Nº 003,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-004-15.pdf,ACUERDO Nº 004,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0005-15.pdf,ACUERDO Nº 005,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0006-15.pdf,ACUERDO Nº 006,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0008-15.pdf,ACUERDO Nº 008,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0009-15.pdf,ACUERDO Nº 009,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-010-15.pdf,ACUERDO Nº 010,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0011-15.pdf,ACUERDO Nº 011,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0012-15.pdf,ACUERDO Nº 012,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0013-15.pdf,ACUERDO Nº 013,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0014-15.pdf,ACUERDO Nº 014,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0015-15.pdf,ACUERDO Nº 015,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0016-15.pdf,ACUERDO Nº 016,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/08/acu-17-2015-08092022104920.pdf,ACUERDO Nº 017,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0018-15.pdf,ACUERDO Nº 018,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0019-15.pdf,ACUERDO Nº 019,
2015,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0020-15.pdf,ACUERDO Nº 020,
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0001-16.pdf,"ACUERDO 0001-16 POR MEDIO DE LA CUAL SE DICTAN DISPOSICIONES PARA EL DISEÑO E IMPLMENTACION DE LA CATEDRA DE LA PAZ, COMO MEDIO PARA LA PROMOCION, GARANTIA Y FORTALECIMINETO DE UNA EDUCACION PARA LA CONVIVENCIA PACIFICA EN EL DIST",
